id;name;firstname;zip;city;birthdate;street;housenr;stateCode;state
2831;rhhxk-name;ndr-firstname;16760;fub-city;1978-11-12;regd-street;55;OK;OKLAHOMA
2832;lpstk-name;mqz-firstname;18940;tnr-city;1982-9-16;cdhf-street;4;SD;SOUTH DAKOTA
2833;ldhyr-name;yts-firstname;12000;auk-city;1986-11-14;abph-street;147;IN;INDIANA
2834;cjdml-name;iti-firstname;16900;wkq-city;1970-6-5;npow-street;96;NH;NEW HAMPSHIRE
2835;cpenz-name;sbi-firstname;16380;ssl-city;1962-8-19;kilz-street;44;MS;MISSISSIPPI
2836;rxtbg-name;anr-firstname;14720;bqc-city;1958-8-10;pudg-street;140;NV;NEVADA
2837;udblf-name;raa-firstname;11500;wli-city;1978-12-13;xomd-street;41;PW;PALAU
2838;vvyce-name;gep-firstname;13740;gtd-city;1982-5-23;kwbv-street;123;undefined;undefined
2839;kwfnz-name;ucu-firstname;10580;sns-city;1978-8-18;nnun-street;20;OK;OKLAHOMA
2840;zxydx-name;tml-firstname;14680;jda-city;1974-5-29;wfjn-street;157;DC;DISTRICT OF COLUMBIA
2841;bfscx-name;jnl-firstname;16920;yyg-city;1970-11-30;cgfh-street;178;CO;COLORADO
2842;qitur-name;yra-firstname;15560;ijp-city;1978-1-30;fonc-street;155;AK;ALASKA
2843;msixi-name;ynb-firstname;12720;ksl-city;1958-7-17;zpjw-street;46;VI;VIRGIN ISLANDS
2844;wzkjq-name;rgh-firstname;19000;hkm-city;1974-8-12;yixf-street;134;CA;CALIFORNIA
2845;dqfmf-name;yxr-firstname;13840;vie-city;1962-10-23;stvx-street;39;TX;TEXAS
2846;biluz-name;uqe-firstname;17760;wkq-city;1962-7-27;embn-street;183;PW;PALAU
2847;wahfx-name;zwd-firstname;13240;vic-city;1974-3-27;axpw-street;131;UT;UTAH
2848;denwt-name;bta-firstname;17300;hhj-city;1986-12-20;orwy-street;11;WV;WEST VIRGINIA
2849;akdmy-name;ybz-firstname;14560;wtx-city;1962-11-8;nwba-street;123;MP;NORTHERN MARIANA ISLANDS
2850;hqafg-name;nht-firstname;16080;gfu-city;1951-1-12;spsq-street;45;LA;LOUISIANA
2851;zhmbl-name;lnw-firstname;17460;hse-city;1986-12-21;scis-street;97;GA;GEORGIA
2852;snwnj-name;jyy-firstname;16400;hsz-city;1966-2-15;imhl-street;42;NC;NORTH CAROLINA
2853;fuyla-name;mmp-firstname;11840;hgu-city;1986-8-16;ixiz-street;145;NC;NORTH CAROLINA
2854;yvfqz-name;prz-firstname;11260;wjl-city;1982-5-6;fbzd-street;97;MO;MISSOURI
2855;usbgq-name;vhd-firstname;14080;dsb-city;1958-4-1;ggoc-street;54;KS;KANSAS
2856;yaeni-name;zpy-firstname;19100;sen-city;1954-12-10;sbsw-street;158;HI;HAWAII
2857;fgxvr-name;vzi-firstname;17520;lcf-city;1958-11-1;nbdv-street;10;GU;GUAM
2858;tqpbq-name;rwr-firstname;19140;zpd-city;1978-8-23;npvb-street;190;DC;DISTRICT OF COLUMBIA
2859;ieigg-name;ayq-firstname;12960;ljc-city;1962-7-5;dnjz-street;163;FL;FLORIDA
2860;rfvzu-name;edm-firstname;13340;kvz-city;1954-12-8;eijd-street;4;RI;RHODE ISLAND
2861;pduwm-name;gqb-firstname;14240;cyr-city;1954-7-3;ndux-street;13;SD;SOUTH DAKOTA
2862;yyixf-name;yzt-firstname;18020;lwx-city;1974-1-29;iede-street;120;NV;NEVADA
2863;dkszq-name;ytd-firstname;14700;zwh-city;1979-1-11;nbjz-street;65;AS;AMERICAN SAMOA
2864;slkzv-name;zbg-firstname;19880;oee-city;1978-11-1;sphg-street;119;OK;OKLAHOMA
2865;nvxim-name;phc-firstname;19220;vgg-city;1991-1-24;juok-street;106;FM;FEDERATED STATES OF MICRONESIA
2866;piyfg-name;xtn-firstname;13760;nde-city;1954-7-22;vfrv-street;11;NY;NEW YORK
2867;jnusz-name;mjw-firstname;12640;nwb-city;1986-8-23;kcsa-street;138;VA;VIRGINIA
2868;jnypj-name;ioq-firstname;17000;zqy-city;1986-1-9;croe-street;119;PW;PALAU
2869;uohts-name;btx-firstname;13480;dal-city;1990-10-22;llyw-street;150;WA;WASHINGTON
2870;aavpj-name;pvw-firstname;13780;lai-city;1954-9-23;nygu-street;171;FL;FLORIDA
2871;nbjcj-name;rsf-firstname;12000;kjl-city;1986-6-30;ijsb-street;123;ID;IDAHO
2872;syjxh-name;gkq-firstname;19960;rmd-city;1978-10-26;qmyp-street;161;MN;MINNESOTA
2873;vkojz-name;ryo-firstname;14300;bmz-city;1954-9-11;gcpj-street;71;ND;NORTH DAKOTA
2874;pqzfw-name;kld-firstname;16400;qvq-city;1962-9-9;dhbv-street;92;ND;NORTH DAKOTA
2875;owvjk-name;fez-firstname;19740;ldb-city;1978-6-14;kabf-street;87;VA;VIRGINIA
2876;qsfih-name;ixe-firstname;16860;qvr-city;1987-1-7;qean-street;159;CO;COLORADO
2877;slixq-name;gmb-firstname;19980;ftt-city;1982-6-22;xinx-street;111;VT;VERMONT
2878;eegsa-name;xlc-firstname;12680;byk-city;1954-4-23;beul-street;56;MD;MARYLAND
2879;phevp-name;ihs-firstname;16120;adc-city;1978-4-25;voig-street;98;NM;NEW MEXICO
2880;njfoe-name;tag-firstname;16580;tnr-city;1966-12-4;dhky-street;108;LA;LOUISIANA
2881;bdncx-name;hcd-firstname;11260;xcl-city;1970-7-2;jvlp-street;49;GA;GEORGIA
2882;ikedo-name;tks-firstname;17460;odl-city;1958-8-25;iaaq-street;8;GU;GUAM
2883;iafxy-name;vur-firstname;11480;hgt-city;1962-8-3;hmec-street;164;TX;TEXAS
2884;lafhf-name;ssz-firstname;19560;wwp-city;1951-1-25;mxmq-street;96;IN;INDIANA
2885;okyny-name;hbu-firstname;16800;yok-city;1978-3-28;ipjz-street;135;NV;NEVADA
2886;hznby-name;fwy-firstname;13680;wbi-city;1970-7-25;mxui-street;170;CT;CONNECTICUT
2887;ztpoa-name;rzk-firstname;18500;qum-city;1970-7-26;blqr-street;152;ME;MAINE
2888;gitxz-name;axt-firstname;11800;fck-city;1974-1-12;tmjw-street;189;SD;SOUTH DAKOTA
2889;ziomm-name;mcv-firstname;12940;iwq-city;1950-10-22;hqgj-street;140;DC;DISTRICT OF COLUMBIA
2890;otncg-name;tuy-firstname;16540;ulk-city;1971-1-24;yuia-street;166;TX;TEXAS
2891;cnabb-name;hoq-firstname;16300;tuw-city;1962-6-17;ujvv-street;61;ME;MAINE
2892;ucogf-name;ggc-firstname;14500;fsj-city;1978-2-8;asfi-street;53;WV;WEST VIRGINIA
2893;lbpmf-name;sdt-firstname;10780;ewj-city;1978-3-8;hxsp-street;102;NV;NEVADA
2894;tieqq-name;uyu-firstname;17740;wea-city;1966-10-31;abpl-street;187;MO;MISSOURI
2895;fsgwf-name;vjd-firstname;12460;ads-city;1970-11-29;yeou-street;10;MA;MASSACHUSETTS
2896;reeba-name;kzs-firstname;13100;zhc-city;1966-7-8;abmv-street;88;FL;FLORIDA
2897;shybc-name;gcp-firstname;10660;ahg-city;1950-12-15;hrqy-street;174;KS;KANSAS
2898;phszr-name;sst-firstname;13080;ydd-city;1954-9-23;quqn-street;2;RI;RHODE ISLAND
2899;jteco-name;fxc-firstname;19760;agr-city;1986-5-6;dzxc-street;108;MD;MARYLAND
2900;qvaar-name;icx-firstname;16120;boc-city;1978-8-4;bfzf-street;12;NM;NEW MEXICO
2901;jwcdf-name;fsj-firstname;13520;oem-city;1954-2-7;amrb-street;145;AK;ALASKA
2902;flhxu-name;tum-firstname;17520;buo-city;1966-4-24;wfyz-street;96;GA;GEORGIA
2903;xthfg-name;gfe-firstname;12560;vtz-city;1990-1-11;doxx-street;46;NJ;NEW JERSEY
2904;ulzrz-name;bnl-firstname;11620;prz-city;1966-8-2;bxqn-street;104;NY;NEW YORK
2905;oxhyr-name;onx-firstname;15180;bpn-city;1970-11-14;pksn-street;133;IN;INDIANA
2906;fiqjz-name;sce-firstname;16020;fnn-city;1954-9-24;wbhg-street;35;MD;MARYLAND
2907;tkiat-name;xti-firstname;12720;stt-city;1966-8-11;tvnf-street;21;PA;PENNSYLVANIA
2908;kljcz-name;uqd-firstname;13340;ntt-city;1987-1-15;jyje-street;10;PW;PALAU
2909;pgunz-name;hcm-firstname;16680;gxh-city;1970-11-8;shbe-street;184;NC;NORTH CAROLINA
2910;oyjha-name;uhj-firstname;18880;uyg-city;1966-4-10;bjgw-street;176;AR;ARKANSAS
2911;igxbd-name;uph-firstname;13480;ndh-city;1962-12-3;jdcd-street;151;NH;NEW HAMPSHIRE
2912;vnaov-name;wha-firstname;13120;egm-city;1954-3-28;hpep-street;20;CA;CALIFORNIA
2913;dauuz-name;hwg-firstname;13740;khn-city;1958-5-15;etqx-street;5;OK;OKLAHOMA
2914;gkuuo-name;kkb-firstname;13560;xdt-city;1962-4-7;sdoj-street;35;MT;MONTANA
2915;wdhze-name;jjk-firstname;16900;due-city;1970-7-17;pmmu-street;174;AS;AMERICAN SAMOA
2916;ncayz-name;ynb-firstname;15720;lxj-city;1974-4-27;mdtb-street;109;MA;MASSACHUSETTS
2917;rdjin-name;hhu-firstname;14480;lpc-city;1958-11-16;wxik-street;145;KY;KENTUCKY
2918;nxzij-name;bdl-firstname;10740;avx-city;1958-2-20;nybz-street;138;WI;WISCONSIN
2919;xgrzc-name;dxw-firstname;18900;vpq-city;1990-11-16;wzjh-street;58;ME;MAINE
2920;ehgrn-name;vbe-firstname;17500;cik-city;1978-5-21;ucnw-street;135;MD;MARYLAND
2921;gctjx-name;upx-firstname;11960;yqr-city;1958-3-3;rlko-street;141;TN;TENNESSEE
2922;ptzmg-name;hva-firstname;15740;gux-city;1978-5-4;pugy-street;122;VI;VIRGIN ISLANDS
2923;eyeti-name;gnw-firstname;17420;eko-city;1962-10-26;ylph-street;61;NC;NORTH CAROLINA
2924;wccwo-name;zpj-firstname;16600;uim-city;1962-9-29;ygih-street;26;WA;WASHINGTON
2925;bwkoe-name;ayl-firstname;18660;rtw-city;1978-7-16;mzww-street;179;CA;CALIFORNIA
2926;rezku-name;zio-firstname;19080;nvt-city;1982-7-14;wwkd-street;91;CA;CALIFORNIA
2927;mjlsk-name;ecx-firstname;10800;yxu-city;1950-12-11;vttb-street;195;MO;MISSOURI
2928;wdjsi-name;aoq-firstname;13660;smo-city;1954-2-1;kako-street;7;NV;NEVADA
2929;mwfnd-name;nyb-firstname;19760;bbu-city;1986-9-23;apdi-street;91;MS;MISSISSIPPI
2930;vtuoz-name;jhh-firstname;17620;vad-city;1982-5-5;kzup-street;79;GA;GEORGIA
2931;rhhxk-name;ndr-firstname;16760;fub-city;1978-11-12;regd-street;55;OK;OKLAHOMA
2932;lpstk-name;mqz-firstname;18940;tnr-city;1982-9-16;cdhf-street;4;SD;SOUTH DAKOTA
2933;ldhyr-name;yts-firstname;12000;auk-city;1986-11-14;abph-street;147;IN;INDIANA
2934;cjdml-name;iti-firstname;16900;wkq-city;1970-6-5;npow-street;96;NH;NEW HAMPSHIRE
2935;cpenz-name;sbi-firstname;16380;ssl-city;1962-8-19;kilz-street;44;MS;MISSISSIPPI
2936;rxtbg-name;anr-firstname;14720;bqc-city;1958-8-10;pudg-street;140;NV;NEVADA
2937;udblf-name;raa-firstname;11500;wli-city;1978-12-13;xomd-street;41;PW;PALAU
2938;vvyce-name;gep-firstname;13740;gtd-city;1982-5-23;kwbv-street;123;undefined;undefined
2939;kwfnz-name;ucu-firstname;10580;sns-city;1978-8-18;nnun-street;20;OK;OKLAHOMA
2940;zxydx-name;tml-firstname;14680;jda-city;1974-5-29;wfjn-street;157;DC;DISTRICT OF COLUMBIA
2941;bfscx-name;jnl-firstname;16920;yyg-city;1970-11-30;cgfh-street;178;CO;COLORADO
2942;qitur-name;yra-firstname;15560;ijp-city;1978-1-30;fonc-street;155;AK;ALASKA
2943;msixi-name;ynb-firstname;12720;ksl-city;1958-7-17;zpjw-street;46;VI;VIRGIN ISLANDS
2944;wzkjq-name;rgh-firstname;19000;hkm-city;1974-8-12;yixf-street;134;CA;CALIFORNIA
2945;dqfmf-name;yxr-firstname;13840;vie-city;1962-10-23;stvx-street;39;TX;TEXAS
2946;biluz-name;uqe-firstname;17760;wkq-city;1962-7-27;embn-street;183;PW;PALAU
2947;wahfx-name;zwd-firstname;13240;vic-city;1974-3-27;axpw-street;131;UT;UTAH
2948;denwt-name;bta-firstname;17300;hhj-city;1986-12-20;orwy-street;11;WV;WEST VIRGINIA
2949;akdmy-name;ybz-firstname;14560;wtx-city;1962-11-8;nwba-street;123;MP;NORTHERN MARIANA ISLANDS
2950;hqafg-name;nht-firstname;16080;gfu-city;1951-1-12;spsq-street;45;LA;LOUISIANA
2951;zhmbl-name;lnw-firstname;17460;hse-city;1986-12-21;scis-street;97;GA;GEORGIA
2952;snwnj-name;jyy-firstname;16400;hsz-city;1966-2-15;imhl-street;42;NC;NORTH CAROLINA
2953;fuyla-name;mmp-firstname;11840;hgu-city;1986-8-16;ixiz-street;145;NC;NORTH CAROLINA
2954;yvfqz-name;prz-firstname;11260;wjl-city;1982-5-6;fbzd-street;97;MO;MISSOURI
2955;usbgq-name;vhd-firstname;14080;dsb-city;1958-4-1;ggoc-street;54;KS;KANSAS
2956;yaeni-name;zpy-firstname;19100;sen-city;1954-12-10;sbsw-street;158;HI;HAWAII
2957;fgxvr-name;vzi-firstname;17520;lcf-city;1958-11-1;nbdv-street;10;GU;GUAM
2958;tqpbq-name;rwr-firstname;19140;zpd-city;1978-8-23;npvb-street;190;DC;DISTRICT OF COLUMBIA
2959;ieigg-name;ayq-firstname;12960;ljc-city;1962-7-5;dnjz-street;163;FL;FLORIDA
2960;rfvzu-name;edm-firstname;13340;kvz-city;1954-12-8;eijd-street;4;RI;RHODE ISLAND
2961;pduwm-name;gqb-firstname;14240;cyr-city;1954-7-3;ndux-street;13;SD;SOUTH DAKOTA
2962;yyixf-name;yzt-firstname;18020;lwx-city;1974-1-29;iede-street;120;NV;NEVADA
2963;dkszq-name;ytd-firstname;14700;zwh-city;1979-1-11;nbjz-street;65;AS;AMERICAN SAMOA
2964;slkzv-name;zbg-firstname;19880;oee-city;1978-11-1;sphg-street;119;OK;OKLAHOMA
2965;nvxim-name;phc-firstname;19220;vgg-city;1991-1-24;juok-street;106;FM;FEDERATED STATES OF MICRONESIA
2966;piyfg-name;xtn-firstname;13760;nde-city;1954-7-22;vfrv-street;11;NY;NEW YORK
2967;jnusz-name;mjw-firstname;12640;nwb-city;1986-8-23;kcsa-street;138;VA;VIRGINIA
2968;jnypj-name;ioq-firstname;17000;zqy-city;1986-1-9;croe-street;119;PW;PALAU
2969;uohts-name;btx-firstname;13480;dal-city;1990-10-22;llyw-street;150;WA;WASHINGTON
2970;aavpj-name;pvw-firstname;13780;lai-city;1954-9-23;nygu-street;171;FL;FLORIDA
2971;nbjcj-name;rsf-firstname;12000;kjl-city;1986-6-30;ijsb-street;123;ID;IDAHO
2972;syjxh-name;gkq-firstname;19960;rmd-city;1978-10-26;qmyp-street;161;MN;MINNESOTA
2973;vkojz-name;ryo-firstname;14300;bmz-city;1954-9-11;gcpj-street;71;ND;NORTH DAKOTA
2974;pqzfw-name;kld-firstname;16400;qvq-city;1962-9-9;dhbv-street;92;ND;NORTH DAKOTA
2975;owvjk-name;fez-firstname;19740;ldb-city;1978-6-14;kabf-street;87;VA;VIRGINIA
2976;qsfih-name;ixe-firstname;16860;qvr-city;1987-1-7;qean-street;159;CO;COLORADO
2977;slixq-name;gmb-firstname;19980;ftt-city;1982-6-22;xinx-street;111;VT;VERMONT
2978;eegsa-name;xlc-firstname;12680;byk-city;1954-4-23;beul-street;56;MD;MARYLAND
2979;phevp-name;ihs-firstname;16120;adc-city;1978-4-25;voig-street;98;NM;NEW MEXICO
2980;njfoe-name;tag-firstname;16580;tnr-city;1966-12-4;dhky-street;108;LA;LOUISIANA
2981;bdncx-name;hcd-firstname;11260;xcl-city;1970-7-2;jvlp-street;49;GA;GEORGIA
2982;ikedo-name;tks-firstname;17460;odl-city;1958-8-25;iaaq-street;8;GU;GUAM
2983;iafxy-name;vur-firstname;11480;hgt-city;1962-8-3;hmec-street;164;TX;TEXAS
2984;lafhf-name;ssz-firstname;19560;wwp-city;1951-1-25;mxmq-street;96;IN;INDIANA
2985;okyny-name;hbu-firstname;16800;yok-city;1978-3-28;ipjz-street;135;NV;NEVADA
2986;hznby-name;fwy-firstname;13680;wbi-city;1970-7-25;mxui-street;170;CT;CONNECTICUT
2987;ztpoa-name;rzk-firstname;18500;qum-city;1970-7-26;blqr-street;152;ME;MAINE
2988;gitxz-name;axt-firstname;11800;fck-city;1974-1-12;tmjw-street;189;SD;SOUTH DAKOTA
2989;ziomm-name;mcv-firstname;12940;iwq-city;1950-10-22;hqgj-street;140;DC;DISTRICT OF COLUMBIA
2990;otncg-name;tuy-firstname;16540;ulk-city;1971-1-24;yuia-street;166;TX;TEXAS
2991;cnabb-name;hoq-firstname;16300;tuw-city;1962-6-17;ujvv-street;61;ME;MAINE
2992;ucogf-name;ggc-firstname;14500;fsj-city;1978-2-8;asfi-street;53;WV;WEST VIRGINIA
2993;lbpmf-name;sdt-firstname;10780;ewj-city;1978-3-8;hxsp-street;102;NV;NEVADA
2994;tieqq-name;uyu-firstname;17740;wea-city;1966-10-31;abpl-street;187;MO;MISSOURI
2995;fsgwf-name;vjd-firstname;12460;ads-city;1970-11-29;yeou-street;10;MA;MASSACHUSETTS
2996;reeba-name;kzs-firstname;13100;zhc-city;1966-7-8;abmv-street;88;FL;FLORIDA
2997;shybc-name;gcp-firstname;10660;ahg-city;1950-12-15;hrqy-street;174;KS;KANSAS
2998;phszr-name;sst-firstname;13080;ydd-city;1954-9-23;quqn-street;2;RI;RHODE ISLAND
2999;jteco-name;fxc-firstname;19760;agr-city;1986-5-6;dzxc-street;108;MD;MARYLAND
3000;qvaar-name;icx-firstname;16120;boc-city;1978-8-4;bfzf-street;12;NM;NEW MEXICO
3001;jwcdf-name;fsj-firstname;13520;oem-city;1954-2-7;amrb-street;145;AK;ALASKA
3002;flhxu-name;tum-firstname;17520;buo-city;1966-4-24;wfyz-street;96;GA;GEORGIA
3003;xthfg-name;gfe-firstname;12560;vtz-city;1990-1-11;doxx-street;46;NJ;NEW JERSEY
3004;ulzrz-name;bnl-firstname;11620;prz-city;1966-8-2;bxqn-street;104;NY;NEW YORK
3005;oxhyr-name;onx-firstname;15180;bpn-city;1970-11-14;pksn-street;133;IN;INDIANA
3006;fiqjz-name;sce-firstname;16020;fnn-city;1954-9-24;wbhg-street;35;MD;MARYLAND
3007;tkiat-name;xti-firstname;12720;stt-city;1966-8-11;tvnf-street;21;PA;PENNSYLVANIA
3008;kljcz-name;uqd-firstname;13340;ntt-city;1987-1-15;jyje-street;10;PW;PALAU
3009;pgunz-name;hcm-firstname;16680;gxh-city;1970-11-8;shbe-street;184;NC;NORTH CAROLINA
3010;oyjha-name;uhj-firstname;18880;uyg-city;1966-4-10;bjgw-street;176;AR;ARKANSAS
3011;igxbd-name;uph-firstname;13480;ndh-city;1962-12-3;jdcd-street;151;NH;NEW HAMPSHIRE
3012;vnaov-name;wha-firstname;13120;egm-city;1954-3-28;hpep-street;20;CA;CALIFORNIA
3013;dauuz-name;hwg-firstname;13740;khn-city;1958-5-15;etqx-street;5;OK;OKLAHOMA
3014;gkuuo-name;kkb-firstname;13560;xdt-city;1962-4-7;sdoj-street;35;MT;MONTANA
3015;wdhze-name;jjk-firstname;16900;due-city;1970-7-17;pmmu-street;174;AS;AMERICAN SAMOA
3016;ncayz-name;ynb-firstname;15720;lxj-city;1974-4-27;mdtb-street;109;MA;MASSACHUSETTS
3017;rdjin-name;hhu-firstname;14480;lpc-city;1958-11-16;wxik-street;145;KY;KENTUCKY
3018;nxzij-name;bdl-firstname;10740;avx-city;1958-2-20;nybz-street;138;WI;WISCONSIN
3019;xgrzc-name;dxw-firstname;18900;vpq-city;1990-11-16;wzjh-street;58;ME;MAINE
3020;ehgrn-name;vbe-firstname;17500;cik-city;1978-5-21;ucnw-street;135;MD;MARYLAND
3021;gctjx-name;upx-firstname;11960;yqr-city;1958-3-3;rlko-street;141;TN;TENNESSEE
3022;ptzmg-name;hva-firstname;15740;gux-city;1978-5-4;pugy-street;122;VI;VIRGIN ISLANDS
3023;eyeti-name;gnw-firstname;17420;eko-city;1962-10-26;ylph-street;61;NC;NORTH CAROLINA
3024;wccwo-name;zpj-firstname;16600;uim-city;1962-9-29;ygih-street;26;WA;WASHINGTON
3025;bwkoe-name;ayl-firstname;18660;rtw-city;1978-7-16;mzww-street;179;CA;CALIFORNIA
3026;rezku-name;zio-firstname;19080;nvt-city;1982-7-14;wwkd-street;91;CA;CALIFORNIA
3027;mjlsk-name;ecx-firstname;10800;yxu-city;1950-12-11;vttb-street;195;MO;MISSOURI
3028;wdjsi-name;aoq-firstname;13660;smo-city;1954-2-1;kako-street;7;NV;NEVADA
3029;mwfnd-name;nyb-firstname;19760;bbu-city;1986-9-23;apdi-street;91;MS;MISSISSIPPI
3030;vtuoz-name;jhh-firstname;17620;vad-city;1982-5-5;kzup-street;79;GA;GEORGIA
3031;rhhxk-name;ndr-firstname;16760;fub-city;1978-11-12;regd-street;55;OK;OKLAHOMA
3032;lpstk-name;mqz-firstname;18940;tnr-city;1982-9-16;cdhf-street;4;SD;SOUTH DAKOTA
3033;ldhyr-name;yts-firstname;12000;auk-city;1986-11-14;abph-street;147;IN;INDIANA
3034;cjdml-name;iti-firstname;16900;wkq-city;1970-6-5;npow-street;96;NH;NEW HAMPSHIRE
3035;cpenz-name;sbi-firstname;16380;ssl-city;1962-8-19;kilz-street;44;MS;MISSISSIPPI
3036;rxtbg-name;anr-firstname;14720;bqc-city;1958-8-10;pudg-street;140;NV;NEVADA
3037;udblf-name;raa-firstname;11500;wli-city;1978-12-13;xomd-street;41;PW;PALAU
3038;vvyce-name;gep-firstname;13740;gtd-city;1982-5-23;kwbv-street;123;undefined;undefined
3039;kwfnz-name;ucu-firstname;10580;sns-city;1978-8-18;nnun-street;20;OK;OKLAHOMA
3040;zxydx-name;tml-firstname;14680;jda-city;1974-5-29;wfjn-street;157;DC;DISTRICT OF COLUMBIA
3041;bfscx-name;jnl-firstname;16920;yyg-city;1970-11-30;cgfh-street;178;CO;COLORADO
3042;qitur-name;yra-firstname;15560;ijp-city;1978-1-30;fonc-street;155;AK;ALASKA
3043;msixi-name;ynb-firstname;12720;ksl-city;1958-7-17;zpjw-street;46;VI;VIRGIN ISLANDS
3044;wzkjq-name;rgh-firstname;19000;hkm-city;1974-8-12;yixf-street;134;CA;CALIFORNIA
3045;dqfmf-name;yxr-firstname;13840;vie-city;1962-10-23;stvx-street;39;TX;TEXAS
3046;biluz-name;uqe-firstname;17760;wkq-city;1962-7-27;embn-street;183;PW;PALAU
3047;wahfx-name;zwd-firstname;13240;vic-city;1974-3-27;axpw-street;131;UT;UTAH
3048;denwt-name;bta-firstname;17300;hhj-city;1986-12-20;orwy-street;11;WV;WEST VIRGINIA
3049;akdmy-name;ybz-firstname;14560;wtx-city;1962-11-8;nwba-street;123;MP;NORTHERN MARIANA ISLANDS
3050;hqafg-name;nht-firstname;16080;gfu-city;1951-1-12;spsq-street;45;LA;LOUISIANA
3051;zhmbl-name;lnw-firstname;17460;hse-city;1986-12-21;scis-street;97;GA;GEORGIA
3052;snwnj-name;jyy-firstname;16400;hsz-city;1966-2-15;imhl-street;42;NC;NORTH CAROLINA
3053;fuyla-name;mmp-firstname;11840;hgu-city;1986-8-16;ixiz-street;145;NC;NORTH CAROLINA
3054;yvfqz-name;prz-firstname;11260;wjl-city;1982-5-6;fbzd-street;97;MO;MISSOURI
3055;usbgq-name;vhd-firstname;14080;dsb-city;1958-4-1;ggoc-street;54;KS;KANSAS
3056;yaeni-name;zpy-firstname;19100;sen-city;1954-12-10;sbsw-street;158;HI;HAWAII
3057;fgxvr-name;vzi-firstname;17520;lcf-city;1958-11-1;nbdv-street;10;GU;GUAM
3058;tqpbq-name;rwr-firstname;19140;zpd-city;1978-8-23;npvb-street;190;DC;DISTRICT OF COLUMBIA
3059;ieigg-name;ayq-firstname;12960;ljc-city;1962-7-5;dnjz-street;163;FL;FLORIDA
3060;rfvzu-name;edm-firstname;13340;kvz-city;1954-12-8;eijd-street;4;RI;RHODE ISLAND
3061;pduwm-name;gqb-firstname;14240;cyr-city;1954-7-3;ndux-street;13;SD;SOUTH DAKOTA
3062;yyixf-name;yzt-firstname;18020;lwx-city;1974-1-29;iede-street;120;NV;NEVADA
3063;dkszq-name;ytd-firstname;14700;zwh-city;1979-1-11;nbjz-street;65;AS;AMERICAN SAMOA
3064;slkzv-name;zbg-firstname;19880;oee-city;1978-11-1;sphg-street;119;OK;OKLAHOMA
3065;nvxim-name;phc-firstname;19220;vgg-city;1991-1-24;juok-street;106;FM;FEDERATED STATES OF MICRONESIA
3066;piyfg-name;xtn-firstname;13760;nde-city;1954-7-22;vfrv-street;11;NY;NEW YORK
3067;jnusz-name;mjw-firstname;12640;nwb-city;1986-8-23;kcsa-street;138;VA;VIRGINIA
3068;jnypj-name;ioq-firstname;17000;zqy-city;1986-1-9;croe-street;119;PW;PALAU
3069;uohts-name;btx-firstname;13480;dal-city;1990-10-22;llyw-street;150;WA;WASHINGTON
3070;aavpj-name;pvw-firstname;13780;lai-city;1954-9-23;nygu-street;171;FL;FLORIDA
3071;nbjcj-name;rsf-firstname;12000;kjl-city;1986-6-30;ijsb-street;123;ID;IDAHO
3072;syjxh-name;gkq-firstname;19960;rmd-city;1978-10-26;qmyp-street;161;MN;MINNESOTA
3073;vkojz-name;ryo-firstname;14300;bmz-city;1954-9-11;gcpj-street;71;ND;NORTH DAKOTA
3074;pqzfw-name;kld-firstname;16400;qvq-city;1962-9-9;dhbv-street;92;ND;NORTH DAKOTA
3075;owvjk-name;fez-firstname;19740;ldb-city;1978-6-14;kabf-street;87;VA;VIRGINIA
3076;qsfih-name;ixe-firstname;16860;qvr-city;1987-1-7;qean-street;159;CO;COLORADO
3077;slixq-name;gmb-firstname;19980;ftt-city;1982-6-22;xinx-street;111;VT;VERMONT
3078;eegsa-name;xlc-firstname;12680;byk-city;1954-4-23;beul-street;56;MD;MARYLAND
3079;phevp-name;ihs-firstname;16120;adc-city;1978-4-25;voig-street;98;NM;NEW MEXICO
3080;njfoe-name;tag-firstname;16580;tnr-city;1966-12-4;dhky-street;108;LA;LOUISIANA
3081;bdncx-name;hcd-firstname;11260;xcl-city;1970-7-2;jvlp-street;49;GA;GEORGIA
3082;ikedo-name;tks-firstname;17460;odl-city;1958-8-25;iaaq-street;8;GU;GUAM
3083;iafxy-name;vur-firstname;11480;hgt-city;1962-8-3;hmec-street;164;TX;TEXAS
3084;lafhf-name;ssz-firstname;19560;wwp-city;1951-1-25;mxmq-street;96;IN;INDIANA
3085;okyny-name;hbu-firstname;16800;yok-city;1978-3-28;ipjz-street;135;NV;NEVADA
3086;hznby-name;fwy-firstname;13680;wbi-city;1970-7-25;mxui-street;170;CT;CONNECTICUT
3087;ztpoa-name;rzk-firstname;18500;qum-city;1970-7-26;blqr-street;152;ME;MAINE
3088;gitxz-name;axt-firstname;11800;fck-city;1974-1-12;tmjw-street;189;SD;SOUTH DAKOTA
3089;ziomm-name;mcv-firstname;12940;iwq-city;1950-10-22;hqgj-street;140;DC;DISTRICT OF COLUMBIA
3090;otncg-name;tuy-firstname;16540;ulk-city;1971-1-24;yuia-street;166;TX;TEXAS
3091;cnabb-name;hoq-firstname;16300;tuw-city;1962-6-17;ujvv-street;61;ME;MAINE
3092;ucogf-name;ggc-firstname;14500;fsj-city;1978-2-8;asfi-street;53;WV;WEST VIRGINIA
